class_id,comparison,placebo_type,feature_space,nA,nB,stat_energy,p_energy,stat_mmd2,p_mmd2,n_perm,seed,perm_method
weekday__shoulder,2022_vs_2023,placebo_A_year_2022_vs_2023,shape_24D,109,109,0.024562384067042586,0.18163672654690619,0.0024454464250942554,0.20958083832335328,500,12345,iid
weekday__shoulder,2022_vs_2023,placebo_A_year_2022_vs_2023,level_3D,109,109,223.6560971738319,0.001996007984031936,0.6169308910972429,0.001996007984031936,500,12345,iid
weekday__summer,2022_vs_2023,placebo_A_year_2022_vs_2023,shape_24D,66,66,0.08870423746248024,0.043912175648702596,0.01044254687592061,0.06387225548902195,500,12345,iid
weekday__summer,2022_vs_2023,placebo_A_year_2022_vs_2023,level_3D,66,66,442.14490362440324,0.001996007984031936,0.7738898297486789,0.001996007984031936,500,12345,iid
weekday__winter,2022_vs_2023,placebo_A_year_2022_vs_2023,shape_24D,85,85,-0.02480359043831193,0.6407185628742516,-0.0033263908940655007,0.6946107784431138,500,12345,iid
weekday__winter,2022_vs_2023,placebo_A_year_2022_vs_2023,level_3D,85,85,174.05719827337848,0.001996007984031936,0.46091337151165857,0.001996007984031936,500,12345,iid
weekend__shoulder,2022_vs_2023,placebo_A_year_2022_vs_2023,shape_24D,42,42,-0.07181284911668051,0.8682634730538922,-0.010062687641581025,0.9321357285429142,500,12345,iid
weekend__shoulder,2022_vs_2023,placebo_A_year_2022_vs_2023,level_3D,42,42,173.03041745562174,0.001996007984031936,0.5003378030053536,0.001996007984031936,500,12345,iid
weekend__summer,2022_vs_2023,placebo_A_year_2022_vs_2023,shape_24D,26,26,-0.07823098185574917,0.7145708582834331,-0.010757607101151256,0.7305389221556886,500,12345,iid
weekend__summer,2022_vs_2023,placebo_A_year_2022_vs_2023,level_3D,26,26,428.3451739540751,0.001996007984031936,0.8252982882902569,0.001996007984031936,500,12345,iid
weekend__winter,2022_vs_2023,placebo_A_year_2022_vs_2023,shape_24D,35,35,-0.04918937364761877,0.6367265469061876,-0.004901663979753446,0.5828343313373253,500,12345,iid
weekend__winter,2022_vs_2023,placebo_A_year_2022_vs_2023,level_3D,35,35,170.5246284651789,0.001996007984031936,0.5293373602324809,0.001996007984031936,500,12345,iid
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,-0.08302143229533954,0.998003992015968,-0.010257092189422723,0.9920159680638723,500,12345,iid
