class_id,comparison,placebo_type,feature_space,nA,nB,stat_energy,p_energy,stat_mmd2,p_mmd2,n_perm,seed,perm_method
weekday__shoulder,2022_vs_2023,year_by_year,shape_24D,109,109,0.024562384067042586,0.15768463073852296,0.0024454464250942554,0.17764471057884232,500,12345,iid
weekday__shoulder,2022_vs_2023,year_by_year,level_3D,109,109,223.6560971738319,0.001996007984031936,0.6169308910972429,0.001996007984031936,500,12345,iid
weekday__summer,2022_vs_2023,year_by_year,shape_24D,66,66,0.08870423746248024,0.05788423153692615,0.01044254687592061,0.07784431137724551,500,12345,iid
weekday__summer,2022_vs_2023,year_by_year,level_3D,66,66,442.14490362440324,0.001996007984031936,0.7738898297486789,0.001996007984031936,500,12345,iid
weekday__winter,2022_vs_2023,year_by_year,shape_24D,85,85,-0.02480359043831193,0.6506986027944112,-0.0033263908940655007,0.7125748502994012,500,12345,iid
weekday__winter,2022_vs_2023,year_by_year,level_3D,85,85,174.05719827337848,0.001996007984031936,0.46091337151165857,0.001996007984031936,500,12345,iid
weekend__shoulder,2022_vs_2023,year_by_year,shape_24D,42,42,-0.07181284911668051,0.874251497005988,-0.010062687641581025,0.9161676646706587,500,12345,iid
weekend__shoulder,2022_vs_2023,year_by_year,level_3D,42,42,173.03041745562174,0.001996007984031936,0.5003378030053536,0.001996007984031936,500,12345,iid
weekend__summer,2022_vs_2023,year_by_year,shape_24D,26,26,-0.07823098185574917,0.7085828343313373,-0.010757607101151256,0.720558882235529,500,12345,iid
weekend__summer,2022_vs_2023,year_by_year,level_3D,26,26,428.3451739540751,0.001996007984031936,0.8252982882902569,0.001996007984031936,500,12345,iid
weekend__winter,2022_vs_2023,year_by_year,shape_24D,35,35,-0.04918937364761877,0.6347305389221557,-0.004901663979753446,0.592814371257485,500,12345,iid
weekend__winter,2022_vs_2023,year_by_year,level_3D,35,35,170.5246284651789,0.001996007984031936,0.5293373602324809,0.001996007984031936,500,12345,iid
